File ID,Folder,Control,Code,Date,Year,Percent,Replicates
ftbms010010010,01,T. Castaneum controls,I-C-C-2-S,"November 9, 1943","Park ""1948""",29% - 70%,7 replicates
ftbms010010020,01,T. Castaneum controls,I-C-C-2-S,"November 9, 1943","Park ""1948""",29% - 70%,7 replicates
ftbms010010030,01,T. Castaneum controls,I-C-C-2,"November 9, 1943","Park ""1948""",29% - 70%,7 replicates
ftbms010010040,01,T. Castaneum controls,I-C-C-3-S,"November 9, 1943","Park ""1948""",29% - 70%,7 replicates
ftbms010010050,01,T. Castaneum controls,I-C-C-3-S,"November 9, 1943","Park ""1948""",29% - 70%,7 replicates
ftbms010010060,01,T. Castaneum controls,I-C-C-3,"November 9, 1943","Park ""1948""",29% - 70%,7 replicates
ftbms010010070,01,T. Castaneum controls,I-C-C-4-S,"November 9, 1943","Park ""1948""",29% - 70%,7 replicates
ftbms010010080,01,T. Castaneum controls,I-C-C-4-S,"November 9, 1943","Park ""1948""",29% - 70%,7 replicates
ftbms010010090,01,T. Castaneum controls,I-C-C-4,"November 9, 1943","Park ""1948""",29% - 70%,7 replicates
ftbms010010100,01,T. Castaneum controls,I-C-C-11-S,"November 9, 1943","Park ""1948""",29% - 70%,7 replicates
ftbms010010110,01,T. Castaneum controls,I-C-C-11-S,"November 9, 1943","Park ""1948""",29% - 70%,7 replicates
ftbms010010120,01,T. Castaneum controls,I-C-C-11,"November 9, 1943","Park ""1948""",29% - 70%,7 replicates
ftbms010010130,01,T. Castaneum controls,I-C-C-13-S,"November 9, 1943","Park ""1948""",29% - 70%,7 replicates
ftbms010010140,01,T. Castaneum controls,I-C-C-13-S,"November 9, 1943","Park ""1948""",29% - 70%,7 replicates
ftbms010010150,01,T. Castaneum controls,I-C-C-13,"November 9, 1943","Park ""1948""",29% - 70%,7 replicates
ftbms010010160,01,T. Castaneum controls,I-C-C-14-S,"November 9, 1943","Park ""1948""",29% - 70%,7 replicates
ftbms010010170,01,T. Castaneum controls,I-C-C-14-S,"November 9, 1943","Park ""1948""",29% - 70%,7 replicates
ftbms010010180,01,T. Castaneum controls,I-C-C-14,"November 9, 1943","Park ""1948""",29% - 70%,7 replicates
ftbms010010190,01,T. Castaneum controls,I-C-C-20-S,"November 9, 1943","Park ""1948""",29% - 70%,7 replicates
ftbms010010200,01,T. Castaneum controls,I-C-C-20-S,"November 9, 1943","Park ""1948""",29% - 70%,7 replicates
ftbms010010210,01,T. Castaneum controls,I-C-C-20,"November 9, 1943","Park ""1948""",29% - 70%,7 replicates
